frame,player_id,team,x,y,speed_kmh,distance_m,total_distance_m
17,3,Team_1,967,353,6.81,0.06,0.78
17,5,Team_1,900,534,4.82,0.04,0.71
17,6,Team_2,950,520,4.31,0.04,0.78
17,7,Team_2,376,369,4.31,0.04,0.6
17,8,Team_2,770,379,3.05,0.03,0.35
17,9,Team_1,614,406,3.05,0.03,0.2
17,10,Team_1,421,299,4.82,0.04,0.5
17,11,Team_2,468,294,4.82,0.04,0.42
17,12,Umpire,710,392,2.15,0.02,0.24
17,13,Team_2,793,400,4.31,0.04,0.33
17,14,Umpire,1084,287,6.46,0.06,1.02
17,16,Umpire,1136,258,10.99,0.1,0.83
18,1,Team_2,996,356,8.88,0.08,0.84
18,2,Team_1,647,358,2.15,0.02,0.12
18,3,Team_1,971,353,8.62,0.08,0.86
18,5,Team_1,903,536,7.77,0.07,0.78
18,6,Team_2,953,522,7.77,0.07,0.85
18,7,Team_2,374,370,4.82,0.04,0.65
18,8,Team_2,771,380,3.05,0.03,0.38
18,9,Team_1,614,406,0.0,0.0,0.2
18,10,Team_1,420,298,3.05,0.03,0.53
18,11,Team_2,466,294,4.31,0.04,0.46
18,12,Umpire,710,392,0.0,0.0,0.24
18,13,Team_2,794,401,3.05,0.03,0.36
18,14,Umpire,1088,286,8.88,0.08,1.1
18,16,Umpire,1141,257,10.99,0.1,0.93
19,1,Team_2,999,356,6.46,0.06,0.9
19,2,Team_1,647,359,2.15,0.02,0.14
19,3,Team_1,975,353,8.62,0.08,0.94
19,5,Team_1,905,539,7.77,0.07,0.85
19,6,Team_2,956,524,7.77,0.07,0.92
19,7,Team_2,372,370,4.31,0.04,0.69
19,8,Team_2,773,381,4.82,0.04,0.42
19,9,Team_1,614,407,2.15,0.02,0.22
19,10,Team_1,418,298,4.31,0.04,0.57
19,11,Team_2,465,294,2.15,0.02,0.48
19,12,Umpire,711,393,3.05,0.03,0.27
19,13,Team_2,796,401,4.31,0.04,0.4
19,14,Umpire,1093,286,10.77,0.1,1.2
19,16,Umpire,1146,257,10.77,0.1,1.03
20,1,Team_2,1002,355,6.81,0.06,0.97
20,2,Team_1,647,359,0.0,0.0,0.14
20,3,Team_1,978,352,6.81,0.06,1.01
20,5,Team_1,907,539,4.31,0.04,0.89
20,6,Team_2,959,525,6.81,0.06,0.99
20,7,Team_2,370,371,4.82,0.04,0.73
20,8,Team_2,774,381,2.15,0.02,0.44
20,9,Team_1,614,408,2.15,0.02,0.24
20,10,Team_1,417,297,3.05,0.03,0.6
20,11,Team_2,462,293,6.81,0.06,0.55
20,12,Umpire,711,393,0.0,0.0,0.27
20,13,Team_2,797,401,2.15,0.02,0.42
20,14,Umpire,1097,285,8.88,0.08,1.28
20,16,Umpire,1150,256,8.88,0.08,1.11
21,1,Team_2,1004,355,4.31,0.04,1.01
21,2,Team_1,647,359,0.0,0.0,0.14
21,3,Team_1,979,352,2.15,0.02,1.03
21,5,Team_1,908,540,3.05,0.03,0.92
21,6,Team_2,960,526,3.05,0.03,1.02
21,7,Team_2,370,371,0.0,0.0,0.73
21,8,Team_2,774,381,0.0,0.0,0.44
21,9,Team_1,614,408,0.0,0.0,0.24
21,10,Team_1,416,297,2.15,0.02,0.62
21,11,Team_2,461,293,2.15,0.02,0.57
21,12,Umpire,712,393,2.15,0.02,0.29
21,13,Team_2,798,401,2.15,0.02,0.44
21,14,Umpire,1099,285,4.31,0.04,1.32
21,16,Umpire,1151,256,2.15,0.02,1.13
22,1,Team_2,1006,356,4.82,0.04,1.05
22,2,Team_1,648,359,2.15,0.02,0.16
22,3,Team_1,982,352,6.46,0.06,1.09
22,5,Team_1,911,541,6.81,0.06,0.98
22,6,Team_2,962,527,4.82,0.04,1.06
22,7,Team_2,367,372,6.81,0.06,0.8
22,8,Team_2,775,380,3.05,0.03,0.47
22,9,Team_1,614,408,0.0,0.0,0.24
22,10,Team_1,415,298,3.05,0.03,0.64
22,11,Team_2,460,293,2.15,0.02,0.59
22,12,Umpire,712,393,0.0,0.0,0.29
22,13,Team_2,799,401,2.15,0.02,0.46
22,14,Umpire,1102,285,6.46,0.06,1.38
22,16,Umpire,1156,255,10.99,0.1,1.24
23,1,Team_2,1009,357,6.81,0.06,1.11
23,2,Team_1,648,359,0.0,0.0,0.16
23,3,Team_1,985,354,7.77,0.07,1.16
23,5,Team_1,912,543,4.82,0.04,1.03
23,6,Team_2,965,528,6.81,0.06,1.12
23,7,Team_2,365,370,6.09,0.06,0.85
23,8,Team_2,776,380,2.15,0.02,0.49
23,9,Team_1,613,409,3.05,0.03,0.26
