epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,620.436,1.28468,0.66662,0.81891,0.65906,0.40141,0.56865,0.24897,1.66651,1.14032,1.01272,0.0003566,0.0003566,0.0003566
85,627.275,1.3402,0.68812,0.82893,0.6721,0.42958,0.54306,0.23376,1.62005,1.17541,1.02875,0.0003368,0.0003368,0.0003368
86,634.127,1.36917,0.67355,0.8185,0.70793,0.42675,0.56888,0.25424,1.59593,1.12026,1.01977,0.000317,0.000317,0.000317
87,641.092,1.43319,0.7723,0.82979,0.763,0.43662,0.59668,0.26725,1.64859,1.13565,1.01773,0.0002972,0.0002972,0.0002972
88,650.232,1.3996,0.74437,0.83097,0.78479,0.39437,0.59051,0.26262,1.70892,1.27089,1.0432,0.0002774,0.0002774,0.0002774
89,657.262,1.38137,0.71396,0.81895,0.75019,0.43662,0.59347,0.24746,1.62549,1.16846,1.00154,0.0002576,0.0002576,0.0002576
90,664.218,1.34186,0.67681,0.84097,0.7466,0.41549,0.57094,0.2433,1.67264,1.09638,1.00575,0.0002378,0.0002378,0.0002378
91,671.588,1.44605,0.69855,0.80819,0.69603,0.3662,0.48556,0.21972,1.58284,1.42487,1.03444,0.000218,0.000218,0.000218
92,678.592,1.4238,0.71776,0.8187,0.67856,0.39437,0.50229,0.22394,1.6336,1.42011,1.07982,0.0001982,0.0001982,0.0001982
93,687.496,1.3716,0.68493,0.82548,0.82257,0.38732,0.58131,0.25945,1.69948,1.38384,1.0318,0.0001784,0.0001784,0.0001784
94,694.345,1.3545,0.71017,0.8425,0.81923,0.383,0.59201,0.26895,1.72783,1.45294,1.00336,0.0001586,0.0001586,0.0001586
95,701.166,1.33411,0.72164,0.8206,0.7974,0.41577,0.56426,0.24479,1.76541,1.50721,1.05709,0.0001388,0.0001388,0.0001388
96,708.029,1.31081,0.70887,0.81121,0.814,0.40141,0.58403,0.2517,1.673,1.14949,1.06103,0.000119,0.000119,0.000119
97,714.905,1.32375,0.67063,0.82217,0.77521,0.41287,0.5825,0.25243,1.63512,1.16626,1.01258,9.92e-05,9.92e-05,9.92e-05
98,723.874,1.36115,0.72939,0.82117,0.77235,0.40618,0.57159,0.24886,1.67477,1.22696,1.01808,7.94e-05,7.94e-05,7.94e-05
99,730.809,1.39031,0.70973,0.82415,0.7701,0.40845,0.57582,0.25456,1.65037,1.14805,1.01052,5.96e-05,5.96e-05,5.96e-05
100,737.418,1.34487,0.71096,0.81235,0.78068,0.40107,0.56678,0.25164,1.65695,1.12577,1.02804,3.98e-05,3.98e-05,3.98e-05
