Timestamp,Distance covered from previous time interval
2024-05-12T21:04:28.298Z,0.11
2024-05-12T21:04:28.298Z,0.35
2024-05-12T21:04:28.298Z,0.38
2024-05-12T21:04:28.298Z,0.41
2024-05-12T21:04:28.298Z,0.31
2024-05-12T21:04:28.298Z,0.26
2024-05-12T21:04:28.298Z,0.16
2024-05-12T21:04:28.298Z,0.17
2024-05-12T21:04:28.298Z,0.24
2024-05-12T21:04:28.298Z,0.36
2024-05-12T21:04:28.298Z,0.11
2024-05-12T21:04:28.298Z,0.59
2024-05-12T21:04:28.298Z,0.26
2024-05-12T21:04:28.298Z,0.13
2024-05-12T21:04:28.298Z,0.35
2024-05-12T21:04:31.812Z,0.34
2024-05-12T21:04:36.812Z,83
